id,archiveIdentifier,archiveFile,title,artist,album,quadrant,valence,energy,instrumentalness,speechiness,danceability,durationMs,analysisConfidence,categorySource,audioUrl,downloadUrl,externalUrl,licenseUrl,sourceSearch
archive-12rec-036-1-Crepusculum_-_01_A-Sheltered-Life-mp3,12rec.036,Crepusculum_-_01_A-Sheltered-Life.mp3,A Sheltered Life,Crepusculum,Crepusculum - Sky Diaries EP [12rec.036],relaxed,0.7056,0.3232,0.9,0.04,0.3468,226720,0.76,internet_archive_metadata_query,https://archive.org/download/12rec.036/Crepusculum_-_01_A-Sheltered-Life.mp3,https://archive.org/download/12rec.036/Crepusculum_-_01_A-Sheltered-Life.mp3,https://archive.org/details/12rec.036,http://creativecommons.org/licenses/by-nc-sa/2.5/,relaxed-calm-instrumental
archive-12rec-036-2-Crepusculum_-_02_This-is-Mechanism-Not-Ectoplasm-mp3,12rec.036,Crepusculum_-_02_This-is-Mechanism-Not-Ectoplasm.mp3,"This Is Mechanism, Not Ectoplasm",Crepusculum,Crepusculum - Sky Diaries EP [12rec.036],relaxed,0.7056,0.3232,0.9,0.04,0.3468,175930,0.76,internet_archive_metadata_query,https://archive.org/download/12rec.036/Crepusculum_-_02_This-is-Mechanism-Not-Ectoplasm.mp3,https://archive.org/download/12rec.036/Crepusculum_-_02_This-is-Mechanism-Not-Ectoplasm.mp3,https://archive.org/details/12rec.036,http://creativecommons.org/licenses/by-nc-sa/2.5/,relaxed-calm-instrumental
archive-rdm018-1-rdm018_-_toronto_-_toronto_iii_-_01_-_el_eterno_insatisfecho-mp3,rdm018,rdm018_-_toronto_-_toronto_iii_-_01_-_el_eterno_insatisfecho.mp3,El eterno insatisfecho,toronto,[rdm018] Toronto : Toronto [III],tense,0.3916,0.7112,0.9,0.04,0.5541,107380,0.76,internet_archive_metadata_query,https://archive.org/download/rdm018/rdm018_-_toronto_-_toronto_iii_-_01_-_el_eterno_insatisfecho.mp3,https://archive.org/download/rdm018/rdm018_-_toronto_-_toronto_iii_-_01_-_el_eterno_insatisfecho.mp3,https://archive.org/details/rdm018,http://creativecommons.org/licenses/by-nd/3.0/,tense-dark-instrumental
archive-rdm018-2-rdm018_-_toronto_-_toronto_iii_-_02_-_ataque_max_lange-mp3,rdm018,rdm018_-_toronto_-_toronto_iii_-_02_-_ataque_max_lange.mp3,Ataque Max Lange,toronto,[rdm018] Toronto : Toronto [III],tense,0.3916,0.7112,0.9,0.04,0.5541,146720,0.76,internet_archive_metadata_query,https://archive.org/download/rdm018/rdm018_-_toronto_-_toronto_iii_-_02_-_ataque_max_lange.mp3,https://archive.org/download/rdm018/rdm018_-_toronto_-_toronto_iii_-_02_-_ataque_max_lange.mp3,https://archive.org/details/rdm018,http://creativecommons.org/licenses/by-nd/3.0/,tense-dark-instrumental
archive-toulp2-1-toulp2a-mp3,toulp2,toulp2a.mp3,Spectre,Psychadelik Pedestrian,Transient,sad_low,0.3972,0.3896,0.9,0.04,0.3364,264090,0.9,internet_archive_metadata_query,https://archive.org/download/toulp2/toulp2a.mp3,https://archive.org/download/toulp2/toulp2a.mp3,https://archive.org/details/toulp2,http://creativecommons.org/licenses/by-nc/3.0/,sad-melancholic-instrumental
archive-toulp2-2-toulp2b-mp3,toulp2,toulp2b.mp3,Upside Down (feat. Snowflake),Psychadelik Pedestrian,Transient,sad_low,0.3972,0.3896,0.9,0.04,0.3364,283110,0.9,internet_archive_metadata_query,https://archive.org/download/toulp2/toulp2b.mp3,https://archive.org/download/toulp2/toulp2b.mp3,https://archive.org/details/toulp2,http://creativecommons.org/licenses/by-nc/3.0/,sad-melancholic-instrumental
archive-ca294_bidn-1-01_improviso_em_branco_e_preto-mp3,ca294_bidn,01_improviso_em_branco_e_preto.mp3,01 - Improviso em Branco e Preto (Carta as Videntes) [Mario Del Nunzio],"Bernardo Barros, Henrique Iwao & Mario Del Nunzio","Bernardo Barros, Henrique Iwao & Mario Del Nunzio - Musica Eletronica 2004 (ca294)",happy,0.7696,0.78,0.9,0.04,0.6689,462500,0.9,internet_archive_metadata_query,https://archive.org/download/ca294_bidn/01_improviso_em_branco_e_preto.mp3,https://archive.org/download/ca294_bidn/01_improviso_em_branco_e_preto.mp3,https://archive.org/details/ca294_bidn,http://creativecommons.org/licenses/by-nc-nd/3.0/,happy-upbeat-instrumental
archive-ca294_bidn-2-02_libidinagens_neuro_sentimentais-mp3,ca294_bidn,02_libidinagens_neuro_sentimentais.mp3,02 - Libidinagens Neuro-sentimentais [Mario Del Nunzio],"Bernardo Barros, Henrique Iwao & Mario Del Nunzio","Bernardo Barros, Henrique Iwao & Mario Del Nunzio - Musica Eletronica 2004 (ca294)",happy,0.7696,0.78,0.9,0.04,0.6689,477680,0.9,internet_archive_metadata_query,https://archive.org/download/ca294_bidn/02_libidinagens_neuro_sentimentais.mp3,https://archive.org/download/ca294_bidn/02_libidinagens_neuro_sentimentais.mp3,https://archive.org/details/ca294_bidn,http://creativecommons.org/licenses/by-nc-nd/3.0/,happy-upbeat-instrumental
archive-lbn008Plusplus-evils-1-01OhMaryWhatHaveYouDone-mp3,lbn008Plusplus-evils,01OhMaryWhatHaveYouDone.mp3,01 Oh mary what have you done,Plusplus,"[LBN008] Plusplus - ""Evils""",relaxed,0.6408,0.3232,0.9,0.04,0.3351,186020,0.64,internet_archive_metadata_query,https://archive.org/download/lbn008Plusplus-evils/01OhMaryWhatHaveYouDone.mp3,https://archive.org/download/lbn008Plusplus-evils/01OhMaryWhatHaveYouDone.mp3,https://archive.org/details/lbn008Plusplus-evils,http://creativecommons.org/licenses/by-nc-nd/3.0/,relaxed-calm-instrumental
archive-lbn008Plusplus-evils-2-02Evils-mp3,lbn008Plusplus-evils,02Evils.mp3,02 Evils,Plusplus,"[LBN008] Plusplus - ""Evils""",relaxed,0.6408,0.3232,0.9,0.04,0.3351,260410,0.64,internet_archive_metadata_query,https://archive.org/download/lbn008Plusplus-evils/02Evils.mp3,https://archive.org/download/lbn008Plusplus-evils/02Evils.mp3,https://archive.org/details/lbn008Plusplus-evils,http://creativecommons.org/licenses/by-nc-nd/3.0/,relaxed-calm-instrumental
