id,trackGenre,trackGenreLabel,title,artist,popularity,valence,energy,quadrant,spotifyId,youtubeVideoId,youtubeUrl,youtubeSearchUrl
spotify-1HeCBrZd0A2ub1E8aeZJie,breakbeat,Breakbeat,Supermoves,Overseer,45,0.419,0.977,tense,1HeCBrZd0A2ub1E8aeZJie,MwZmPJFNVbw,https://www.youtube.com/watch?v=MwZmPJFNVbw,https://www.youtube.com/results?search_query=Overseer%20Supermoves%20official%20audio
spotify-4NGTWaZ2uM1eLyaRXfDApY,drum-and-bass,Drum and Bass,Back In Time VIP,"Kanine, A Little Sound",50,0.0967,0.984,tense,4NGTWaZ2uM1eLyaRXfDApY,_yDvc6jCtSs,https://www.youtube.com/watch?v=_yDvc6jCtSs,https://www.youtube.com/results?search_query=Kanine%2C%20A%20Little%20Sound%20Back%20In%20Time%20VIP%20official%20audio
spotify-0uryR2h5CovP64xlud4DGZ,drum-and-bass,Drum and Bass,Beautiful Lies,B-complex,49,0.124,0.903,tense,0uryR2h5CovP64xlud4DGZ,tzqw_Dqa0SU,https://www.youtube.com/watch?v=tzqw_Dqa0SU,https://www.youtube.com/results?search_query=B-complex%20Beautiful%20Lies%20official%20audio
spotify-7aYilD8vBLICtiJ7Pt6XLY,drum-and-bass,Drum and Bass,Rock It (Wilkinson Remix),"Sub Focus, Wilkinson",49,0.399,0.99,tense,7aYilD8vBLICtiJ7Pt6XLY,2p2BWpv0raI,https://www.youtube.com/watch?v=2p2BWpv0raI,https://www.youtube.com/results?search_query=Sub%20Focus%2C%20Wilkinson%20Rock%20It%20(Wilkinson%20Remix)%20official%20audio
spotify-6yZyQ2sDmelY3C6KesOYYL,drum-and-bass,Drum and Bass,Power,"Netsky, Urbandawn",48,0.358,0.92,tense,6yZyQ2sDmelY3C6KesOYYL,fwE3QI57rWE,https://www.youtube.com/watch?v=fwE3QI57rWE,https://www.youtube.com/results?search_query=Netsky%2C%20Urbandawn%20Power%20official%20audio
spotify-1tm7cZeRQFQsc2Nrpv8PYj,drum-and-bass,Drum and Bass,Driver,Pendulum,47,0.202,0.979,tense,1tm7cZeRQFQsc2Nrpv8PYj,O3FKMYBV01U,https://www.youtube.com/watch?v=O3FKMYBV01U,https://www.youtube.com/results?search_query=Pendulum%20Driver%20official%20audio
spotify-06ANCcAnZnK0x1KGmodioE,club,Club,In the 42nd Street,Absolute Valentine,56,0.639,0.79,happy,06ANCcAnZnK0x1KGmodioE,pxiOpZnbQgI,https://www.youtube.com/watch?v=pxiOpZnbQgI,https://www.youtube.com/results?search_query=Absolute%20Valentine%20In%20the%2042nd%20Street%20official%20audio
spotify-1ME8Thb5mDmBYTI3I5f3uJ,club,Club,Breathe,ZABO,55,0.202,0.547,tense,1ME8Thb5mDmBYTI3I5f3uJ,EkLkR35Sz7I,https://www.youtube.com/watch?v=EkLkR35Sz7I,https://www.youtube.com/results?search_query=ZABO%20Breathe%20official%20audio
spotify-2M4gBVSuTLI1GIcM9vL6DH,club,Club,Move Slow,One True God,52,0.295,0.794,tense,2M4gBVSuTLI1GIcM9vL6DH,MKQptukaMkc,https://www.youtube.com/watch?v=MKQptukaMkc,https://www.youtube.com/results?search_query=One%20True%20God%20Move%20Slow%20official%20audio
spotify-2jJIxT6WAIVWzDo3Ou53Q0,club,Club,Pursuit,Gesaffelstein,51,0.0708,0.934,tense,2jJIxT6WAIVWzDo3Ou53Q0,oRSijEW_cDM,https://www.youtube.com/watch?v=oRSijEW_cDM,https://www.youtube.com/results?search_query=Gesaffelstein%20Pursuit%20official%20audio
spotify-018SQDupRTRsl1Wolu1X0c,club,Club,Star Eater,Daniel Deluxe,51,0.147,0.555,tense,018SQDupRTRsl1Wolu1X0c,QHNakk1oM7g,https://www.youtube.com/watch?v=QHNakk1oM7g,https://www.youtube.com/results?search_query=Daniel%20Deluxe%20Star%20Eater%20official%20audio
